"--Please Select--","-- Proszę wybrać --"
"API Login ID","ID logowania API"
"Accepted Currency","Akceptowana waluta"
"Amount of %s approved by payment gateway. Transaction ID: ""%s"".","Amount of %s approved by payment gateway. Transaction ID: ""%s""."
"Authorize.net Direct Post","Authorize.net Direct Post"
"Card Verification Number","Numer weryfikacyjny karty"
"Card Verification Number Visual Reference","Wizualna referencja numeru weryfikacyjnego karty"
"Close","Zamknij"
"Credit Card Information","Informacje karty kredytowej"
"Credit Card Number","Numer karty kredytowej"
"Credit Card Type","Typ karty kredytowej"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Debug","Debuguj"
"Email Customer","Wyślij e-mail do klienta"
"Enabled","Włączone"
"Expiration Date","Data ważności"
"Gateway URL","URL bramki"
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant MD5","MD5 handlowca"
"Merchant's Email","E-mail handlowca"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Status nowego zamówienia"
"Order saving error: %s","Błąd podczas zapisywania zamówienia: %s"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment authorization error. Transacion id is empty.","Błąd autoryzacji płatności. ID transakcji jest puste."
"Payment error. Order was not found.","Błąd płatności. Zamówienie nie zostało znalezione."
"Payment error. Paid amount doesn\'t match the order amount.","Błąd płatności. Zapłacona kwota nie zgadza się z kwotą zamówienia."
"Payment from Applicable Countries","Płatność ze stosownych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Please, choose payment method","Proszę o wybór sposobu płatności"
"Response hash validation failed. Transaction declined.","Weryfikacja kodu odpowiedzi zakończona niepowodzeniem. Trnasakcja odrzucona."
"Sort Order","Kolejność sortowania"
"Test Mode","Tryb testowy"
"The order has been created.","Zamówienie zostało utworzone."
"There was an error processing your order. Please contact us or try again later.","Wystąpił problem z przetwarzaniem zamówienia. Skontaktuj się z obsługa sklepu lub spróbuj później."
"Title","Tytuł"
"Transaction Key","Klucz transakcji"
"What is this?","Co to jest?"
"You will be required to enter your payment details before you place an order.","Zostaniesz poproszony o podanie swoich danych rozliczeniowych zanim złożysz zamówienie."
