"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Uwaga</strong>: Captcha bierze pod uwagę wielkie i małe litery."
"After number of attempts to login","Po liczbie prób logowania"
"Always","Zawsze"
"CAPTCHA","CAPTCHA"
"CAPTCHA Timeout (minutes)","Timeout CAPTCHA (minuty)"
"CAPTCHA for ""Create user"" and ""Forgot password"" forms is always enabled if chosen","CAPTCHA dla formularzy ""Tworzenie użytkownika"" i ""Zapomniane hasło"" będzie zawsze włączone, jesli wybrane"
"Case Sensitive","Rozpoznaje wielkość liter"
"Displaying Mode","Tryb wyświetlania"
"Enable CAPTCHA in Admin","Włącz CAPTCHA w panelu admina"
"Enable CAPTCHA on Frontend","Włącz CAPTCHA w sklepie"
"Font","Font"
"Forms","Formularze"
"If 0 is specified, CAPTCHA on the Login form will be always available.","Jeśli wybrane jest 0, CAPTCHA na formularzu logowania będzie zawsze włączona."
"Incorrect CAPTCHA.","Niepoprawna CAPTCHA"
"Number of Symbols","Liczby lub symbole"
"Number of Unsuccessful Attempts to Login","Ilość nieudanych prób logowania"
"Please specify 8 symbols at the most. Range allowed (e.g. 3-5)","Proszę podać maksymalnie 8 znaków. Zakres dozwolony (np. 3-5)"
"Please type the letters below","Proszę wpisać litery poniżej"
"Please type the letters from the image:","Proszę wpisać litery z obrazka:"
"Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.<br />Similar looking characters (e.g. ""i"", ""l"", ""1"") decrease chance of correct recognition by customer.","Proszę o używanie jedynie liter (a-z lub A-Z) lub cyfr (0-9) w tym polu. Spacje i inne znaki nie są dozwolone.<br />Podobnie wyglądajace znaki (np. ""i"", ""l"", ""1"") zmniejszają szansę pomyślnego rozpoznania przez użytkownika."
"Reload captcha","Przeładuj captcha"
"Symbols Used in CAPTCHA","Symbole użyte w CAPTCHA"
