"%s and greater","%s i więcej"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d produktów</strong> zostało znalezionych przy pomocy następujących kryteriów"
"Advanced Search","Wyszukiwanie zaawansowane"
"Advanced Search Form","Formularz zaawansowanego wyszukiwania"
"Advanced Search Result","Wynik zaawansowanego wyszukiwania"
"All","Wszystko"
"Applies for ""Like"" search type only.","Stosowane tylko do wyszukiwania typu ""Like""."
"Apply Layered Navigation if Search Results are Less Than","Zastosuj warstwową nawigację jeśli wynik wyszukiwania zwróci mniej niż"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Ustawienia cechy są powiązane z indeksem wyszukiwania. Uruchom <a href=""%s"">przebudowanie indeksu</a>."
"Autogenerated Site Map","Autogenerowana mapa witryny"
"Catalog Advanced Search","Zaawansowane wyszukiwanie w katalogu"
"Catalog Search","Wyszukiwanie"
"Catalog Search Index","Indeks wyszukiwania w katalogu"
"Don't see what you're looking for?","Nie możesz znaleźć tego czego szukasz?"
"Enter ""0"" to enable layered navigation for any number of results.","Wpisz ""0"", aby włączyć warstwową nawigację dla dowolnej liczby rezultatów."
"Go","Dalej"
"Go to Home Page","Przejdź na stronę główną"
"Grid","Siatka"
"Home","Strona główna"
"List","Lista"
"Maximum Query Length","Maksymalna długość zapytania"
"Maximum Query Words Count","Licznik maksymalnej ilości słów w zapytaniu"
"Maximum Search query length is %s. Your query was cut.","Maksymalna długość zapytania wynosi %s. Twoje zapytanie zostało skrócone."
"Maximum words count is %1$s. In your search query was cut next part: %2$s.","Maksymalna ilość słów wynosi %1$s. Twoje zapytanie zostało skrócone, następna część: %2$s.."
"Minimal Query Length","Minimalna długość zapytania"
"Minimum Search query length is %s","Minimalna długość zapytania wynosi %s"
"Modify your search","Zmodyfikuj swoje zapytanie"
"No","Nie"
"No items were found using the following search criteria.","Nie znaleziono żadnych produktów odpowiadających podanym kryteriom."
"Please specify at least one search term.","Musisz sprecyzować co najmniej jedną frazę wyszukiwania."
"Popular Search Terms","Popularne wyszukiwane frazy"
"Quick Search Form","Formularz szybkiego wyszukiwania"
"Rebuild Catalog product fulltext search index","Przebuduj fultekstowy indeks produktów katalogu"
"Relevance","Trafność"
"Results","Rezultaty"
"Search","Szukaj"
"Search Settings","Ustawienia wyszukiwania"
"Search Terms","Szukane frazy"
"Search Type","Typ wyszukiwania"
"Search entire store here...","Szukaj tutaj w całym sklepie..."
"Search results for '%s'","Wyniki wyszukiwania dla '%s'"
"Search results for: '%s'","Wyniki wyszukiwania dla: '%s'"
"Search:","Szukaj:"
"Specified date is invalid.","Podana data jest nieprawidłowa."
"Subscribe to Feed","Subskrybuj kanał"
"There are no search terms available.","Brak dostępnych fraz wyszukiwania."
"Yes","Tak"
"Your search returns no results.","Brak wyników wyszukiwania."
"up to %s","aż do %s"
