"3D Secure CAVV","3D Secure CAVV"
"3D Secure Card Validation","3D Secure Card Validation"
"3D Secure Cardholder Validation","3D Secure Cardholder Validation"
"3D Secure Electronic Commerce Indicator","3D Secure Electronic Commerce Indicator"
"3D Secure Verification Result","3D Secure Verification Result"
"3D Secure XID","3D Secure XID"
"Card Issuer Liability","Card Issuer Liability"
"Card Verification","Card Verification"
"Enrolled","Zarejestrowany"
"Enrolled but Authentication Unavailable","Zarejestrowany ale autentykacja jest niedostępna"
"Failed","Nieudane"
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability","Odpowiedzialność handlowca"
"Not Enrolled","Niezarejestrowany"
"Order cannot be placed.","Zamówienie nie może zostać złożone."
"Payment information error. Please start over.","Błąd informacji o płatności. Proszę zacząć od początku."
"Please continue with placing order.","Proszę kontynuować ze składaniem zamówienia."
"Please verify the card with the issuer bank before placing the order.","Proszę zweryfikować kartę z wystawiającym ją bankiem przed złożeniem zamówienia."
"Please verify the card with the issuer bank:","Proszę zweryfikować kartę z wystawiającym ją bankiem:"
"Start/Reset Validation...","Rozpocznij/resetuj walidację..."
"Successful","Zakończona pomyślnie"
"Successful attempt","Pomyślna próba"
"The card has failed verification with the issuer bank.","Karta nie przeszła weryfikacji przez wystawiający ją bank."
"There has been wrong payment information submitted or the time limit has expired. Please, try again.","Została przesłana nieprawidłowa informacja o płatności lub limit czasowy został przekroczony. Proszę spróbować ponownie."
"There has been wrong payment information submitted or time limit has expired. Please, try again.","Została przesłana nieprawidłowa informacja o płatności lub limit czasowy został przekroczony. Proszę spróbować ponownie."
"This card has failed validation and cannot be used.","Karta nie przeszła weryfikacji i nie może być użyta."
"To ensure the security of your transactions","W celu zapewnienia bezpieczeństwa transakcji"
"Unable to complete","Nie można się zakończyć"
"Validation failed.","Weryfikacja nie powiodła się."
"Verification Failed","Weryfikacja nie powiodła się"
"Verification Successful","Weryfikacja zakończona pomyślnie"
"Verification cannot be processed","Weryfikacja nie może być przetworzona"
"Verified by Visa","Weryfikacja przez Vaisa"
