"1.5.0.0 & later","1.5.0.0 & nowsze"
"Action","Operacja"
"Add Author","Dodaj autora"
"Add Contents Path","Dodaj ścieżkę zawartości"
"Add PHP Extension dependency","Dodaj zależności rozszerzeń PHP"
"Add Package dependency","Dodaj zależności pakietu"
"Add files","Dodaj pliki"
"Authors","Autorzy"
"Channel","Kanały"
"Contents","Zawartości"
"Create Extension Package","Utwórz pakiet modułu"
"Dependencies","Zależności"
"Description","Opis"
"Edit Extension","Edytuj moduł"
"Email","E-mail"
"Extension","Moduł"
"Extensions","Moduły"
"Failed to create the package.","Nie udało się utworzyć pakietu."
"Failed to load the package data.","Nie udało się załadować danych pakietu."
"Failed to save the package.","Nie udało się zapisać pakietu."
"Files","Pliki"
"Folder","Folder"
"Ignore","Ignoruj"
"Include","Załącz"
"License","Licencja"
"License URI","URI licencji"
"Load Local Package","Załaduj lokalny pakiet"
"Load local Package","Załaduj lokalny pakiet"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Zarządzanie Magento Connect"
"Max","Maks"
"Maximum","Maksimum"
"Min","Min"
"Minimum","Minimum"
"Name","Nazwa"
"New Extension","Nowy moduł"
"PHP Version","Wersja PHP"
"Package","Paczka"
"Package Extensions","Spakuj moduły"
"Package File Name","Nazwa pliku pakietu"
"Package Info","Informacje pakietu"
"Packages","Pakiety"
"Path","Ścieżka"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Informacje wydania"
"Remove","Usuń"
"Save As...","Zapisz jako..."
"Save Data and Create Package","Zapisz dane i utwórz pakiet"
"Save package with custom package file name","Zapisz pakiet z indywidualną nazwą pliku pakietu"
"Summary","Podsumowanie"
"Supported releases","Wspierane wydania"
"System","System"
"Target","Cel"
"The package %s data has been loaded.","Dane pakietu %s zostały załadowane."
"The package data has been saved.","Dane pakietu zostały zapisane."
"There was a problem saving package data","Wystąpił problem z zapisem danych pakietu."
"Type","Typ"
"User","Użytkownik"
