"* Required Fields","* wymagane pola"
"Comment","Komentarz"
"Contact Form","Formularz kontaktowy"
"Contact Information","Informacje kontaktowe"
"Contact Us","Skontaktuj się z nami"
"Contact Us Form","Formularz kontaktowy"
"Contacts","Kontakty"
"Contacts Section","Sekcja Kontaktu"
"Email","E-mail"
"Email Options","Opcje e-mail"
"Email Sender","Nadawca"
"Email Template","Szablon e-mail"
"Enable Contact Us","Włącz formularz kontaktowy"
"Name","Imię"
"Send Emails To","Wysyłaj e-maile do"
"Submit","Wyślij"
"Telephone","Telefon"
"Unable to submit your request. Please, try again later","Nie udało się przesłać zapytania. Spróbuj ponownie później."
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Zapytanie zostało przesłane i odpowiemy na nie tak szybko, jak to tylko możliwe. Dziękujemy za zainteresowanie naszą ofertą."
