"10 minutes","10 minut"
"15 minutes","15 minut"
"20 minutes","20 minut"
"30 minutes","30 minut"
"5 minutes","5 minut"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (zadania zaplanowane) – wszystkie czasy podane są w minutach"
"Daily","Codziennie"
"Failure History Lifetime","Cała historia niepowodzeń"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Dla prawidłowego generowania adresów URL podczas zadań cron upewnij się, że podstawowy niezabezpieczony i bezpieczny adres są poprawnie ustawione."
"Generate Schedules Every","Generuj plan zadań co"
"History Cleanup Every","Czyść historię co"
"Hourly","Co godzinę"
"Invalid callback: %s::%s does not exist","Błędne odwołanie: %s::%s nie istnieje"
"Invalid model/method definition, expecting ""model/class::method"".","Nieprawidłowa definicja modelu/metody, oczekiwane ""model/class::method""."
"Minute Intervals","Interwał minutowy"
"Missed if Not Run Within","Opuść jeśli nie zostanie uruchomine w ciągu"
"Monthly","Co miesiąc"
"No callbacks found","Nie znaleziono odwołań"
"Schedule Ahead for","Zaplanuj na przyszłość dla"
"Success History Lifetime","Cała historia sukcesów"
"Too late for the schedule.","Za późno na plan zadań."
"Unable to delete the cron task.","Nie można usunąć zadania cron."
"Unable to save the cron expression.","Nie można zapisać wyrażenia cron."
"Weekly","Co tydzień"
