"Add","Dodaj"
"Add New Row","Dodaj nowy rząd"
"Add links and samples to downloadable product","Dodaj linki i próbki do produktu do pobrania."
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Litery alfabetu, kreski i podkreślenia są polecane dla nazw plików. Nieprawidłowe znaki zostaną zastąpione przez '_'."
"An error occurred while getting the requested content.","Wystąpił błąd podczas pobierania żądanej zawartości."
"An error occurred while getting the requested content. Please contact the store owner.","Wystąpił błąd podczas pobierania żądanej zawartości. Proszę o kontakt z właścicielem sklepu."
"An error occurred while saving the file(s).","Wystąpił błąd podczas zapisywania plików."
"Availability:","Dostępność:"
"Back","Powrót"
"Canceled","Anulowane"
"Cannot connect to remote host, error: %s.","Brak połączenia ze zdalnym hostem, błąd: %s."
"Catalog Product View (Downloadable)","Widok produktu (do pobrania)"
"Category API","API kategorii"
"Customer My Account Downloadable Items","Konto klienta produkty do pobrania"
"Date","Data"
"Default Link Title","Domyślny tytuł dla linków"
"Default Maximum Number of Downloads","Domyślna maksymalna ilość ściągnięć"
"Default Sample Title","Domyślny tytuł dla próbek"
"Delete","Usuń"
"Disable Guest Checkout if Cart Contains Downloadable Items","Wyłącz zakupy dla niezalogowanych jeśli koszyk zawiera produkty do pobrania"
"Downloadable Information","Informacje o produktach do pobrania"
"Downloadable Product","Produkt do pobrania"
"Downloadable Product Options","Opcje produktów do pobrania"
"Downloadable Product Section","Sekcja Produktów do pobrania"
"Edit","Edytuj"
"Edit item parameters","Edytuj parametry elementu"
"Excl. Tax","Bez podatku"
"File","Plik"
"From:","Z:"
"Gift Message","Wiadomość prezentowa"
"Go to <a href=""%s"">My Downloadable Products</a>","Przejdź do <a href=""%s"">produktów do pobrania</a>"
"Guest checkout will only work with shareable.","Zakupy dla niezalogowanych będą działały tylko ze współdzielonymi"
"In stock","W magazynie"
"Incl. Tax","Z podatkiem"
"Invalid download URL host.","Nieprawidłowy host URL pobierania"
"Invalid download URL scheme.","Nieprawidłowy schemat URL pobierania"
"Invalid download link type.","Nieprawidłowy typ odnośnika pobierania"
"Invoiced","Zafakturowano"
"Links can be purchased separately","Linki mogą zostać kupione osobno"
"List","Lista"
"Max. Downloads","Maksymalna ilość ściągnięć"
"Message:","Wiadomość:"
"Move","Przenieś"
"My Downloadable Products","Moje produkty do pobrania"
"Open Links in New Window","Otwórz linki w nowym oknie"
"Order #","Zamówienie nr "
"Order Item Status to Enable Downloads","Status elementu zamówienia umożliwiający pobranie"
"Order id cannot be null","ID zamówienia nie może być puste"
"Order item id cannot be null","ID elementu zamówienia nie może być puste"
"Ordered","Zamówiony"
"Out of stock","Brak w magazynie"
"Pending","Oczekuje"
"Please log in to download your product or purchase <a href=""%s"">%s</a>.","Proszę się zalogować, aby ściągnąć produkt lub zakup <a href=""%s"">%s</a>. "
"Please log in to download your product.","Proszę się zalogować, aby ściągnąć produkt."
"Please set resource file and link type.","Proszę wybrać plik źródłowy i typ odnośnika"
"Please specify product link(s).","Określ link(i) produktu"
"Price","Cena"
"Product downloadable links","Linki produktu do pobrania"
"Qty","Ilość"
"Refunded","Zwrócono"
"Remaining Downloads","Pozostałe ściągnięcia"
"Remove","Usuń"
"Remove Item","Usuń produkt"
"Remove links and samples from downloadable product","Usuń linki i próbki z produktu do pobrania."
"Requested link does not exist.","Żądany link nie istnieje."
"Retrieve links and samples list from downloadable product","Pobierz listę linków i próbek z produktu do pobrania."
"Sample","próbka"
"See price before order confirmation.","Zobacz cenę przed potwierdzeniem zamówienia."
"Shareable","Współdzielony"
"Shipped","Wysłane"
"Sorry, there was an error getting requested content. Please contact the store owner.","Niestety, wystąpił błąd podczas pobierania. Proszę o kontakt z właścicielem sklepu."
"Sort Order","Kolejność sortowania"
"Start Download","Rozpocznij pobieranie"
"Status","Status"
"The file does not exist.","Plik nie istnieje."
"The link has expired.","Link utracił ważność."
"The link is not available.","Link jest niedostępny."
"There are files that were selected but not uploaded yet. Please upload or remove them first","Istnieją pliki, które były wybrane, ale nie zostały jeszcze przesłane. Proszę najpierw przesłać je lub usunąć"
"Title","Tytuł"
"To:","Do:"
"U","U"
"Unlimited","Nielimitowany"
"Use Content-Disposition","Użyj rozmieszczenia treści"
"Use Default Value","Użyj wartości domyślnej"
"View Order","Zobacz zamówienie"
"What's this?","Co to jest?"
"You have not purchased any downloadable products yet.","Nie kupowałeś jeszcze żadnych produktów do pobrania."
"attachment","załącznik"
"download","ściągnij"
"inline","liniowy"
"sample","próbka"
