"%s Index process is working now. Please try run this process later.","Proces indeksowania %s właśnie pracuje. Proszę uruchomić ten proces później."
"%s index was rebuilt.","Indeks %s został przebudowany."
"'%s' Index Process Information","Informacje procesu indeksu '%s'"
"Action","Operacja"
"Cannot initialize the indexer process.","Nie można rozpocząć procesu indeksowania."
"Change Index Mode","Zmień tryb indeksowania"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Kliknij tutaj aby przejść do <a href=""%s"">Zarządzania cache</a> i odświeżyć typu pamięci cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Kliknij tutaj aby przejść do <a href=""%s"">Zarządzania indeksem</a> i przebudować niezbędne indeksy."
"Delete","Usuń"
"Description","Opis"
"Disable","Wyłącz"
"Enable","Włącz"
"General","Ogólne"
"Index","Indeks"
"Index Description","Opis indeksu"
"Index Management","Zarządzanie indeksem"
"Index Mode","Tryb indeksu"
"Index Name","Nazwa indeksu"
"Index mode","Tryb indeksu"
"Indexer code is not defined.","Kod indeksu nie jest zdefiniowany."
"Indexer model is not defined.","Model indeksu nie jest zdefiniowany."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Model indeksu powinien rozszerzać Mage_Index_Model_Indexer_Abstract."
"Manual Update","Ręczna aktualizacja"
"Mode","Tryb"
"Never","Nigdy"
"No","Nie"
"One or more of the Indexes are not up to date:","Jeden lub więcej indeksów jest nieaktualnych:"
"Please select Index(es)","Proszę wybrać indeks(y)"
"Please select Indexes","Proszę wybrać indeksy"
"Process Information","Informacje procesu"
"Processing","Przetwarzam"
"Ready","Gotowe"
"Refresh","Odśwież"
"Reindex Data","Przeindeksuj"
"Reindex Required","Wymagane przeindeksowanie"
"Revoke","Wycofaj"
"Status","Status"
"System","System"
"The index has been saved.","Indeks został zapisany."
"There was a problem with reindexing process.","Wystąpił problem z procesem indeksowania."
"There was a problem with saving process.","Wystąpił problem z procesem zapisu."
"Total of %d index(es) have changed index mode.","Łącznie %d indeksów zmieniło tryb indeksowania."
"Total of %d index(es) have reindexed data.","Łącznie %d indeksów zindeksowało dane."
"Update Required","Wymagana aktualizacja"
"Update on Save","Aktualizuj przy zapisie"
"Updated At","Zaktualizowano"
"Yes","Tak"
