"3D Secure","3D Secure"
"3D Secure Card Validation","3D Secure Card Validation"
"API Login ID","ID logowania API"
"Accepted Currency","Akceptowana waluta"
"Allow Partial Authorization","Zezwól na częściową autoryzację"
"Are you sure you want to cancel your payment? Click OK to cancel your payment and release the amount on hold. Click Cancel to enter another credit card and continue with your payment.","Czy na pewno chcesz nulować swoją płatność? Kliknik OK aby anulować i zwolnić zatrzymaną ilość. Kliknij Anuluj aby wstawić inną kartę kredytową i kontynuować transakcję."
"Authorize Only","Tylko autoryzacja"
"Authorize and Capture","Autoryzuj i przechwyć"
"Authorize.Net Transaction ID %s","ID transakcji Authorize.Net %s"
"Authorize.net","Authorize.net"
"Cancel","Anuluj"
"Centinel API URL","URL API Centinel"
"Credit Card Types","Typy kart kredytowych"
"Credit Card Verification","Weryfikacja karty kredytowej"
"Credit Card: xxxx-%s","Karta kredytowa: xxxx-%s"
"Debug","Debuguj"
"Email Customer","Wyślij e-mail do klienta"
"Enabled","Włączone"
"Error in payment gateway.","Błąd bramki odpowiedzialnej za płatność"
"Gateway actions are locked because the gateway cannot complete one or more of the transactions. Please log in to your Authorize.Net account to manually resolve the issue(s).","Operacja bramki są zablokowane ponieważ bramka nie może zakończyć jednej lub więcej transakcji. Proszę zalogować się do konta Authorize Net i ręcznie rozwiązać problemy."
"Gateway error: %s","Błąd bramki: %s"
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","Domyślna wartość będzie użyta, jeśli puste. Własny URL może być dostarczony w umowie CardinalCommerce."
"Invalid amount for authorization.","Nieprawidłowa kwota do autoryzacji."
"Invalid amount for capture.","Nieprawidłowa ilość do przechwycenia."
"Invalid amount for partial authorization.","Nieprawidłowa kwota do częściowej autoryzacji."
"Invalid amount for refund.","Nieprawidłowa kwota do refundacji."
"Invalid split tenderId ID.","Nieprawidłowe ID podziału tenderId"
"Invalid transaction ID.","Błędne ID tranzakcji."
"Maximum Order Total","Maksymalna suma zamówienia"
"Merchant's Email","E-mail handlowca"
"Minimum Order Total","Minimalna suma zamówienia"
"New Order Status","Status nowego zamówienia"
"Parent Authorize.Net transaction (ID %s) expired","ID nadrzędnej transakcji Authorize.Net %s wygasło"
"Payment Action","Akcja płatności"
"Payment authorization error.","Błąd autoryzacji płatności."
"Payment canceling error.","Błąd anulowania płatności."
"Payment capturing error.","Błąd przechwycenia płatności."
"Payment from Applicable Countries","Płatność z dozwolonych krajów"
"Payment from Specific Countries","Płatność z wybranych krajów"
"Payment partial authorization error.","Błąd częściowej autoryzacji płatności."
"Payment refunding error.","Błąd refundacji płatności."
"Payment updating error.","Błąd aktualzacji płatności."
"Payment voiding error.","Błąd unieważnienia płatności."
"Processed Amount","Przetworzona kwota"
"Remaining Balance","Pozostały bilans"
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Shopping cart contents and/or address has been changed.","Zawartość koszyka i/lub adres została zmieniona."
"Sort Order","Kolejność sortowania"
"Test Mode","Tryb testowy"
"The amount on your credit card is insufficient to complete your purchase. The available amount has been put on hold. To complete your purchase click OK and specify additional credit card number. To cancel the purchase and release the amount on hold, click Cancel.","Limit dostępny na twojej karcie kredytowej jest niewystarczający do dokończenia transakcji. Dostępna kwota została wstrzymana. W celu dokończenia zakupu, kliknij OK i wybierz dodatkowy numer karty kredytowej. W celu anulowania zakupu i uwolnienia wstrzymanej kwoty, kliknij Anuluj."
"There was an error canceling transactions. Please contact us or try again later.","Wystąpił problem z anulowaniem transakcji. Skontaktuj się z obsługa sklepu lub spróbuj później."
"Title","Tytuł"
"Transaction Key","Klucz transakcji"
"You have reached the maximum number of credit card allowed to be used for the payment.","Maksymalny limit kart kredytowych dozwolonych do wykonania płatności został osiągnięty."
"You have reached the maximum number of credit cards that can be used for one payment. The available amounts on all used cards were insufficient to complete payment. The payment has been cancelled and amounts on hold have been released.","Maksymalny limit kart kredytowych dozwolonych do wykonania jednej płatności został osiągnięty. Dostępne limity na wszystkich kartach były niewystarczające do zakończenia płatności. Płatność została znulowana i wstrzymane kwoty zostały uwlonione."
"Your credit card has been declined. Click OK to specify another credit card to complete your purchase. Click Cancel to release the amount on hold and select another payment method.","Twoja karta kredytowa została odrzucona. Kliknij OK, aby wybrać inną kartę do dokończenia zakupu. Kliknij Anuluj, aby uwolnić wstrzymaną kwotę i wybrać inną metodę płatności."
"Your order has not been placed, because contents of the shopping cart and/or address has been changed. Authorized amounts from your previous payment that were left pending are now released. Please go through the checkout process for your recent cart contents.","Twoje zamówienie nie zostało złożone, ponieważ zawartość koszyka i/lub adres zostały zmeinione. Autoryzwoane kwoty z poprzedniej płatności, które oczekiwały zostały uwolnione. Proszę przejść proces zakupu dla nowej zawartości koszyka."
"Your payment has been cancelled. All authorized amounts have been released.","Twoja płatność została anulowana. Wszystkie autoryzowane kwoty zostały odblokowane."
"amount %s","Kwota: %s"
"authorize","autoryzuj"
"authorize and capture","autoryzuj i przechwyć"
"capture","przechwyć"
"failed","nieudane"
"refund","zwróć"
"successful","zakończona pomyślnie"
"void","unieważniony"
