"%d Review(s)","%d recenzja(i)"
"%s Review(s)","%s recenzja(i)"
"(Posted on %s)","(Dodano %s)"
"1 star","1 gwiazdka"
"2 stars","2 gwiazdki"
"3 stars","3 gwiazdki"
"4 stars","4 gwiazdki"
"5 stars","5 gwiazdek"
"<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>","<a href=""%1$s"" onclick=""this.target=\'blank\'"">%2$s %3$s</a> <a href=""mailto:%4$s"">(%4$s)</a>"
"Add New Review","Dodaj nową recenzję"
"Add Your Review","Dodaj swoją recenzję"
"Administrator","Administrator"
"All Reviews","Wszystkie recenzje"
"All Reviews of Customer `%s`","Wszystkie recenzje użytkownika '%s'"
"All Reviews of Product `%s`","Wszystkie recenzje produktu '%s'"
"Allow Guests to Write Reviews","Pozwól gościom na pisanie recenzji"
"Approved","Zaakceptowany"
"Are you sure you want to do this?","Czy na pewno chcesz to zrobić?"
"Are you sure?","Czy na pewno tego chcesz?"
"Average Customer Rating","Średnia ocena klientów"
"Average Customer Rating:","Średnia ocena klientów:"
"Back","Powrót"
"Back to Main Product Info","Wróć do informacji o produkcie"
"Back to My Reviews","Wróć do swoich recenzji"
"Back to Product Reviews","Wróć do recenzji produktu"
"Be the first to review this product","Oceń ten produkt jako pierwszy"
"Catalog Product Review View","Widok opinii produktu"
"Catalog Product Reviews List","Lista opinii produktu"
"Created On","Utworzono"
"Customer","Klient"
"Customer My Account Product Reviews","Konto klienta opinie produktu"
"Customer My Account Review Details","Konto klienta szczegóły opinii"
"Customer Reviews","Recenzje klientów"
"Customers Reviews","Recenzje klientów"
"Delete","Usuń"
"Delete Review","Usuń recenzję"
"Detailed Rating","Szczegółowa ocena"
"Edit Review '%s'","Edycja recenzji '%s'"
"Guest","Gość"
"How do you rate this product?","Jak oceniasz ten produkt?"
"ID","ID"
"Manage Ratings","Zarządzaj ocenami"
"My Product Reviews","Moje opinie do produktów"
"My Recent Reviews","Moje ostatnie recenzje"
"Name","Nazwa"
"Name in Store","Nazwa w sklepie"
"New Review","Nowa recenzja"
"Nickname","Pseudonim"
"Nickname can\'t be empty","Pole pseudonim nie może być puste"
"Not Approved","Odrzucona"
"Only registered users can write reviews. Please, <a href=""%s"">log in</a> or <a href=""%s"">register</a>","Tylko zarejestrowani kiienci mogą pisać opinie. Proszę <a href=""%s"">zalogować się</a> lub <a href=""%s"">zarejestrować</a>"
"Pending","Oczekuje"
"Pending Reviews","Oczekujące recenzje"
"Pending Reviews of Customer `%s`","Oczekujące opinie użytkownika '%s"
"Please select a product","Wybierz produkt"
"Please select one of each of the ratings above","Wybierz po jednej wartości z powyższych ocen"
"Posted By","Wysłane przez"
"Price","Cena"
"Product","Produkt"
"Product Name","Nazwa produktu"
"Product Rating","Ocena produktu"
"Product Rating:","Ocena produktu:"
"Product Review (submitted on %s):","Recenzja produktu (zgłoszona %s):"
"Product Reviews","Recenzje produktu"
"Product SKU","SKU produktu"
"Products Reviews","Recenzje produktów"
"Qty","Ilość"
"Rating:","Ocena:"
"Review","Opinia"
"Review (submitted on %s):","Opinia (przesłana %s)"
"Review Details","Szczegóły recenzji"
"Review Form Fields Before","Przed polami formularza opinii"
"Review by <span>%s</span>","Opinia wg <span>%s</span>"
"Review can\'t be empty","Pole opinia nie może być puste"
"Review summary can\'t be empty","Pole podsumowanie opinii nie może być puste"
"Reviews and Ratings","Recenzje i oceny"
"SKU","SKU"
"Save Review","Zapisz recenzję"
"Status","Status"
"Submit Review","Dodaj recenzję"
"Summary Rating","Podsumowanie oceny"
"Summary of Review","Podsumowanie recenzji"
"Summary of Your Review","Podsumowanie twojej opinii"
"Title","Tytuł"
"Type","Typ"
"Unable to post the review.","Nie można opublikować opinii."
"Update Status","Aktualizuj status"
"View All Reviews","Zobacz wszystkie recenzje"
"View Details","Zobacz szczegóły"
"Visible In","Widoczny w"
"Websites","Witryny"
"Write Your Own Review","Napisz własną recenzję"
"You have submitted no reviews.","Nie masz jeszcze zgłoszonych żadnych recenzji."
"You're reviewing:","Piszesz opinię o:"
"Your Rating:","Twoja ocena:"
"Your Review (submitted on %s):","Twoja recenzja (zgłoszona %s):"
"Your review has been accepted for moderation.","Twoja recenzja została przekazana do moderatora"
